persona_id,need_id,urgency,budget_allocated
P21,NEED_RETIREMENT,immediate,15000
P21,NEED_CI,short_term,5000
P21,NEED_LIFE,short_term,5000
P22,NEED_HEALTH,immediate,3000
P22,NEED_EDUCATION,immediate,3000
P22,NEED_LIFE,short_term,2000
P23,NEED_HEALTH,immediate,8000
P23,NEED_CI,short_term,5000
P23,NEED_SAVINGS,long_term,5000
P24,NEED_LIFE,immediate,1500
P24,NEED_PA,immediate,1000
P24,NEED_SAVINGS,long_term,500
P25,NEED_RETIREMENT,immediate,8000
P25,NEED_HEALTH,short_term,4000
P25,NEED_CI,short_term,3000
P26,NEED_PA,immediate,1200
P26,NEED_LIFE,short_term,800
P26,NEED_SAVINGS,long_term,500
P27,NEED_HEALTH,immediate,4000
P27,NEED_RETIREMENT,immediate,3000
P27,NEED_LEGACY,long_term,2000
P28,NEED_EDUCATION,immediate,5000
P28,NEED_LIFE,short_term,3000
P28,NEED_RETIREMENT,long_term,3000
P29,NEED_PA,immediate,4000
P29,NEED_HEALTH,short_term,3000
P29,NEED_LIFE,long_term,2000
P30,NEED_LIFE,immediate,6000
P30,NEED_HEALTH,short_term,4000
P30,NEED_CI,short_term,3000
P31,NEED_SAVINGS,immediate,4000
P31,NEED_WEALTH,short_term,3000
P31,NEED_HEALTH,long_term,2000
P32,NEED_LIFE,immediate,2500
P32,NEED_PA,immediate,1500
P32,NEED_HEALTH,long_term,1000
P33,NEED_LIFE,immediate,2000
P33,NEED_EDUCATION,immediate,2000
P33,NEED_PA,short_term,1000
P34,NEED_HEALTH,immediate,3000
P34,NEED_SAVINGS,short_term,2000
P34,NEED_RETIREMENT,long_term,2000
P35,NEED_LIFE,immediate,8000
P35,NEED_CI,short_term,4000
P35,NEED_WEALTH,long_term,5000
P36,NEED_LIFE,immediate,3500
P36,NEED_SAVINGS,short_term,2500
P36,NEED_PA,long_term,1500
P37,NEED_CI,immediate,6000
P37,NEED_LIFE,short_term,4000
P37,NEED_WEALTH,long_term,4000
P38,NEED_EDUCATION,immediate,2500
P38,NEED_LIFE,short_term,1500
P38,NEED_HEALTH,long_term,1000
P39,NEED_WEALTH,immediate,15000
P39,NEED_LEGACY,short_term,10000
P39,NEED_CI,long_term,5000
P40,NEED_LIFE,immediate,1500
P40,NEED_HEALTH,short_term,1000
P40,NEED_EDUCATION,long_term,500
