persona_id,criteria_id,compliance_level,verified
P01,AGE_20_80,100,true
P01,INCOME_MID,100,true
P01,HEALTH_GOOD,100,true
P02,AGE_20_80,100,true
P02,INCOME_MID,100,true
P02,HEALTH_GOOD,100,true
P03,AGE_15_70,100,true
P03,INCOME_LOW,100,true
P03,HEALTH_FAIR,100,true
P04,AGE_20_80,100,true
P04,INCOME_HIGH,100,true
P04,HEALTH_FAIR,100,true
P05,AGE_20_80,100,true
P05,INCOME_MID,100,true
P05,HEALTH_GOOD,100,true
P06,AGE_20_80,100,true
P06,INCOME_LOW,100,true
P06,HEALTH_GOOD,100,true
P07,AGE_20_80,100,true
P07,INCOME_HIGH,100,true
P07,HEALTH_GOOD,100,true
P08,AGE_20_80,100,true
P08,INCOME_MID,100,true
P08,HEALTH_FAIR,100,true
P09,AGE_20_80,100,true
P09,INCOME_HIGH,100,true
P09,HEALTH_FAIR,100,true
P10,AGE_20_80,100,true
P10,INCOME_HIGH,100,true
P10,HEALTH_GOOD,100,true
P11,AGE_20_80,100,true
P11,INCOME_MID,100,true
P11,HEALTH_FAIR,100,true
P12,AGE_20_80,100,true
P12,INCOME_MID,100,true
P12,HEALTH_GOOD,100,true
P13,AGE_20_80,100,true
P13,INCOME_HIGH,100,true
P13,HEALTH_FAIR,100,true
P14,AGE_20_80,100,true
P14,INCOME_LOW,100,true
P14,HEALTH_POOR,100,true
P15,AGE_20_80,100,true
P15,INCOME_LOW,100,true
P15,HEALTH_GOOD,100,true
P16,AGE_15_70,100,true
P16,INCOME_LOW,100,true
P16,HEALTH_POOR,100,true
P17,AGE_20_80,100,true
P17,INCOME_LOW,100,true
P17,HEALTH_GOOD,100,true
P18,AGE_20_80,100,true
P18,INCOME_MID,100,true
P18,HEALTH_GOOD,100,true
P19,AGE_20_80,100,true
P19,INCOME_PREMIUM,100,true
P19,HEALTH_FAIR,100,true
P20,AGE_20_80,100,true
P20,INCOME_MID,100,true
P20,HEALTH_GOOD,100,true
